                                                                                LinearAcceleration                                                              04.04.2511.32.4552  
Timestamp,AccX,AccY,AccZ
1743758136.83,4.4938812255859375,-3.7760090827941895,7.934883117675781
1743758136.83,4.603955268859863,-3.752079963684082,7.949240684509277
1743758136.83,4.536953926086426,-3.723365068435669,7.930097579956055
1743758136.83,4.551311016082764,-3.6659352779388428,7.9013824462890625
1743758136.903,4.335949420928955,-3.68986439704895,7.843952655792236
1743758136.903,4.489095687866211,-3.555861473083496,7.877453327178955
1743758136.903,4.297662734985352,-3.737722396850586,7.858310222625732
1743758136.903,4.230661392211914,-3.6707210540771484,7.877453327178955
1743758136.976,4.393379211425781,-3.7425081729888916,7.939669132232666
1743758136.976,4.489095687866211,-3.8765110969543457,7.776951313018799
1743758136.976,4.632669925689697,-3.919583559036255,7.638162612915039
1743758136.976,4.666170597076416,-3.9387266635894775,7.64773416519165
1743758137.049,4.7953877449035645,-4.101444244384766,7.590304374694824
1743758137.049,4.828888416290283,-4.206732273101807,7.5998759269714355
1743758137.049,4.804959297180176,-4.154088497161865,7.642948627471924
1743758137.049,4.886318206787109,-4.144516944885254,7.70037841796875
1743758137.122,4.962891578674316,-4.216303825378418,7.542446136474609
1743758137.122,5.010749340057373,-4.158874034881592,7.508945465087891
1743758137.122,5.0059638023376465,-4.0583720207214355,7.671663284301758
1743758137.122,5.183038711547852,-4.048800468444824,7.714735507965088
1743758137.195,5.163895606994629,-3.9961564540863037,7.585518836975098
1743758137.195,5.053822040557861,-3.9243693351745605,7.652520179748535
1743758137.195,4.924604892730713,-3.8621537685394287,7.753022193908691
1743758137.195,4.74752950668335,-3.823867082595825,7.705163955688477
1743758137.268,4.6613850593566895,-3.8047239780426025,7.719521522521973
1743758137.268,4.632669925689697,-3.7185792922973633,7.638162612915039
1743758137.268,4.632669925689697,-3.7137932777404785,7.762593746185303
1743758137.268,4.623098373413086,-3.68986439704895,7.772165298461914
1743758137.341,4.685314178466797,-3.68986439704895,7.70037841796875
1743758137.341,4.718814849853516,-3.675506830215454,7.70037841796875
1743758137.341,4.699671268463135,-3.6802926063537598,7.800880432128906
1743758137.341,4.776244640350342,-3.6132912635803223,7.858310222625732
1743758137.414,4.74752950668335,-3.584576368331909,7.896596908569336
1743758137.414,4.7953877449035645,-3.6228628158569336,7.88223934173584
1743758137.414,4.824102878570557,-3.555861473083496,7.9683837890625
1743758137.414,4.876746654510498,-3.618077039718628,7.963598251342773
1743758137.487,4.824102878570557,-3.6420061588287354,7.791308879852295
1743758137.487,4.637455940246582,-3.6659352779388428,7.843952655792236
1743758137.487,4.833674430847168,-3.6850783824920654,7.896596908569336
1743758137.487,4.723600387573242,-3.694650173187256,7.738664627075195
1743758137.56,4.7953877449035645,-3.7472941875457764,7.757808208465576
1743758137.56,4.723600387573242,-3.6994359493255615,7.772165298461914
1743758137.56,4.694885730743408,-3.6563634872436523,7.724307537078857
1743758137.56,4.74752950668335,-3.809509754180908,7.60466194152832
1743758137.633,4.757101058959961,-3.8477962017059326,7.714735507965088
1743758137.633,4.9006757736206055,-3.7568657398223877,7.757808208465576
1743758137.633,4.953319549560547,-3.905225992202759,7.776951313018799
1743758137.633,4.9437479972839355,-3.843010425567627,7.729093074798584
1743758137.706,4.929390907287598,-3.8477962017059326,7.7960944175720215
1743758137.706,4.9006757736206055,-3.886082649230957,7.757808208465576
1743758137.706,4.824102878570557,-3.8334388732910156,7.628591060638428
1743758137.706,4.7044572830200195,-3.890868663787842,7.638162612915039
1743758137.779,4.7953877449035645,-3.7999379634857178,7.6620917320251465
1743758137.779,4.728386402130127,-3.8525819778442383,7.628591060638428
1743758137.779,4.718814849853516,-3.919583559036255,7.671663284301758
1743758137.779,4.785816192626953,-3.886082649230957,7.619019508361816
1743758137.852,4.848031997680664,-3.929155111312866,7.580732822418213
1743758137.852,4.924604892730713,-3.933940887451172,7.628591060638428
1743758137.852,4.99160623550415,-3.948298454284668,7.60466194152832
1743758137.852,4.886318206787109,-3.948298454284668,7.623805046081543
1743758137.925,4.757101058959961,-3.91479754447937,7.70037841796875
1743758137.925,4.603955268859863,-3.943512439727783,7.733879089355469
1743758137.925,4.584811687469482,-3.9530842304229736,7.709949970245361
1743758137.925,4.541739463806152,-4.077515602111816,7.609447956085205
1743758137.998,4.714028835296631,-4.053586483001709,7.5568037033081055
1743758137.998,4.771458625793457,-4.053586483001709,7.609447956085205
1743758137.998,4.6613850593566895,-4.096658706665039,7.532874584197998
1743758137.998,4.6757426261901855,-4.10623025894165,7.6620917320251465
1743758138.071,4.709243297576904,-4.0440144538879395,7.781737327575684
1743758138.071,4.848031997680664,-3.9961564540863037,7.815237998962402
1743758138.071,4.848031997680664,-3.9674415588378906,7.757808208465576
1743758138.071,4.819316864013672,-3.87172532081604,7.757808208465576
1743758138.144,4.74752950668335,-3.857367753982544,7.834381103515625
1743758138.144,4.7953877449035645,-3.8812968730926514,7.824809551239014
1743758138.144,4.694885730743408,-3.9817991256713867,7.666877746582031
1743758138.144,4.680528163909912,-3.87172532081604,7.810451984405518
1743758138.217,4.618312835693359,-3.929155111312866,7.705163955688477
1743758138.217,4.728386402130127,-3.943512439727783,7.724307537078857
1743758138.217,4.709243297576904,-3.933940887451172,7.6908063888549805
1743758138.217,4.714028835296631,-3.886082649230957,7.642948627471924
1743758138.29,4.474738121032715,-3.9865849018096924,7.676449298858643
1743758138.29,4.379021644592285,-3.8956544399261475,7.853524208068848
1743758138.29,4.402950763702393,-3.9387266635894775,7.762593746185303
1743758138.29,4.603955268859863,-3.962655782699585,7.748236179351807
