                                                                                MagneticField                                                                   04.04.2511.32.4552  
Timestamp,MagnX,MagnY,MagnZ
1743758136.83,62.407127380371094,-103.79723358154297,92.48977661132812
1743758136.83,59.74119186401367,-99.93345642089844,89.68790435791016
1743758136.83,60.905399322509766,-103.84169006347656,89.68824005126953
1743758136.83,59.79420852661133,-103.12213897705078,89.68304443359375
1743758136.903,59.7677001953125,-101.52780151367188,89.68547821044922
1743758136.903,60.9149284362793,-99.3197021484375,91.1906967163086
1743758136.903,60.635677337646484,-101.66020965576172,90.91786193847656
1743758136.903,62.00638961791992,-101.0837631225586,92.13235473632812
1743758136.976,60.22420120239258,-100.26911926269531,90.6064682006836
1743758136.976,60.22420120239258,-100.26911926269531,90.6064682006836
1743758136.976,60.58647918701172,-99.51107025146484,92.56083679199219
1743758136.976,60.55514907836914,-102.43772888183594,91.20113372802734
1743758137.049,63.21048355102539,-102.62310028076172,91.43085479736328
1743758137.049,61.40428924560547,-102.5740966796875,91.87220001220703
1743758137.049,61.39662170410156,-100.97579193115234,92.43595123291016
1743758137.049,62.694156646728516,-98.53504180908203,93.42066192626953
1743758137.122,63.493988037109375,-101.04227447509766,94.51290130615234
1743758137.122,63.79329299926758,-101.89740753173828,93.79856872558594
1743758137.122,64.80172729492188,-102.07901763916016,93.0586929321289
1743758137.122,64.07725524902344,-99.55591583251953,94.21173095703125
1743758137.195,61.998722076416016,-99.4854507446289,92.69610595703125
1743758137.195,64.26952362060547,-99.59422302246094,93.78309631347656
1743758137.195,64.82013702392578,-102.35492706298828,92.44891357421875
1743758137.195,60.92259979248047,-100.91801452636719,90.626953125
1743758137.268,62.54045486450195,-97.4482650756836,93.47415924072266
1743758137.268,63.22811508178711,-99.41954803466797,93.54066467285156
1743758137.268,61.56665802001953,-99.6986312866211,90.9789810180664
1743758137.268,61.56665802001953,-99.6986312866211,90.9789810180664
1743758137.341,60.63185501098633,-100.62065124511719,89.27975463867188
1743758137.341,62.986114501953125,-102.03199005126953,93.21937561035156
1743758137.341,60.62154769897461,-101.66317749023438,90.49687194824219
1743758137.341,60.33255386352539,-99.7655258178711,89.99408721923828
1743758137.414,62.695369720458984,-101.73462677001953,91.87217712402344
1743758137.414,61.81369400024414,-101.32533264160156,91.389892578125
1743758137.414,61.448883056640625,-100.20420837402344,91.31069946289062
1743758137.414,62.16612243652344,-100.84912109375,91.89250183105469
1743758137.487,61.900569915771484,-103.4665298461914,90.86956024169922
1743758137.487,61.330684661865234,-100.98966979980469,90.47132873535156
1743758137.487,61.84490966796875,-102.91868591308594,91.52779388427734
1743758137.487,61.30021286010742,-103.35657501220703,91.45381927490234
1743758137.56,61.46640396118164,-101.52066802978516,92.1987075805664
1743758137.56,63.365047454833984,-103.15013122558594,93.71955871582031
1743758137.56,65.11898040771484,-103.97071838378906,94.40345764160156
1743758137.56,62.27019500732422,-100.066650390625,92.31088256835938
1743758137.633,60.77524948120117,-102.74995422363281,90.4433822631836
1743758137.633,62.25299835205078,-102.99032592773438,91.3721694946289
1743758137.633,62.248287200927734,-102.99131774902344,91.23184204101562
1743758137.633,60.833194732666016,-96.89764404296875,93.0224609375
1743758137.706,59.94801712036133,-99.68891906738281,90.85135650634766
1743758137.706,63.17028045654297,-100.7518539428711,92.18338775634766
1743758137.706,61.70370101928711,-98.90921020507812,92.37966918945312
1743758137.706,61.874488830566406,-101.59232330322266,92.0430908203125
1743758137.779,60.99413299560547,-99.86259460449219,91.23411560058594
1743758137.779,61.41459655761719,-101.53157043457031,90.65507507324219
1743758137.779,61.339210510253906,-102.02822875976562,92.24977111816406
1743758137.779,61.558101654052734,-99.140869140625,93.04051208496094
1743758137.852,63.63444900512695,-101.09148406982422,92.54063415527344
1743758137.852,61.05186080932617,-103.05029296875,91.36959075927734
1743758137.852,61.1541862487793,-103.86810302734375,90.94356536865234
1743758137.852,63.70159912109375,-104.2771987915039,92.9567642211914
1743758137.925,60.817203521728516,-103.02091217041016,90.5352554321289
1743758137.925,60.13468551635742,-100.76876068115234,91.7801742553711
1743758137.925,61.1671028137207,-100.66553497314453,92.91304016113281
1743758137.925,59.32400894165039,-104.10391998291016,89.51216125488281
1743758137.998,59.32400894165039,-104.10391998291016,89.51216125488281
1743758137.998,59.77919006347656,-104.16565704345703,90.75984191894531
1743758137.998,58.09297561645508,-101.25010681152344,89.04499053955078
1743758137.998,60.67335510253906,-101.65227508544922,92.0405044555664
1743758138.071,59.89357376098633,-102.34065246582031,89.96109771728516
1743758138.071,61.537078857421875,-101.0250015258789,90.46368408203125
1743758138.071,61.30449676513672,-103.63545227050781,90.42304992675781
1743758138.071,60.24557113647461,-102.14433288574219,89.29261016845703
1743758138.144,61.34733963012695,-102.8658676147461,89.01714324951172
1743758138.144,59.4152717590332,-102.00399780273438,89.18286895751953
1743758138.144,60.39927291870117,-103.23110961914062,89.23912048339844
1743758138.144,58.94124984741211,-101.94622039794922,87.37386322021484
1743758138.217,58.15629959106445,-103.3962631225586,87.82301330566406
1743758138.217,57.5850944519043,-102.23981475830078,87.75146484375
1743758138.217,59.98647689819336,-103.16044616699219,89.25440979003906
1743758138.217,58.041168212890625,-101.26101684570312,87.50135803222656
1743758138.29,57.94476318359375,-103.64179992675781,86.51923370361328
1743758138.29,58.988346099853516,-101.93630981445312,88.77716827392578
1743758138.29,58.988346099853516,-101.93630981445312,88.77716827392578
1743758138.29,57.41758728027344,-105.39613342285156,87.33325958251953
1743758138.363,56.89733123779297,-104.78852844238281,86.4631576538086
1743758138.363,59.65805435180664,-102.87101745605469,86.78457641601562
