timestamp,gyro_x,gyro_y,gyro_z
2025-10-16T21:05:26.431690,0,1,0
2025-10-16T21:05:27.514875,0,1,0
2025-10-16T21:05:27.712559,0,1,0
2025-10-16T21:05:27.945423,0,1,0
2025-10-16T21:05:28.191239,0,2,0
2025-10-16T21:05:28.413915,0,1,0
2025-10-16T21:05:28.627573,0,1,0
2025-10-16T21:05:28.858720,0,1,0
2025-10-16T21:05:29.076654,0,1,0
2025-10-16T21:05:29.309815,0,1,0
2025-10-16T21:05:29.517412,0,2,0
2025-10-16T21:05:29.717923,0,1,0
2025-10-16T21:05:29.918625,0,1,0
2025-10-16T21:05:30.142264,0,1,0
2025-10-16T21:05:30.360054,0,1,0
2025-10-16T21:05:30.620496,-5,-9,32
2025-10-16T21:05:30.821012,-3,-5,-41
2025-10-16T21:05:31.043844,52,-111,-5
2025-10-16T21:05:31.275584,-152,206,36
2025-10-16T21:05:31.493608,24,-69,-45
2025-10-16T21:05:31.709996,203,-25,-224
2025-10-16T21:05:31.927877,431,312,-463
2025-10-16T21:05:32.152624,-439,1565,9
2025-10-16T21:05:32.392942,224,547,-1250
2025-10-16T21:05:32.610630,56,416,-293
2025-10-16T21:05:32.842704,170,1424,-749
2025-10-16T21:05:33.047391,-107,1408,-481
2025-10-16T21:05:33.276539,-659,1384,-91
2025-10-16T21:05:33.493960,-598,1999,248
2025-10-16T21:05:33.694348,-189,1017,239
2025-10-16T21:05:33.929783,-247,1535,20
2025-10-16T21:05:34.153588,-290,1916,-342
2025-10-16T21:05:34.343332,-655,1722,83
2025-10-16T21:05:34.576802,-552,1999,456
2025-10-16T21:05:34.807876,-399,1885,547
2025-10-16T21:05:35.032460,-572,1867,626
2025-10-16T21:05:35.243368,396,853,-308
2025-10-16T21:05:35.476045,-193,881,-1200
2025-10-16T21:05:35.693652,-526,-194,-178
2025-10-16T21:05:35.927442,-3,-325,-2000
2025-10-16T21:05:36.143606,84,-2000,-2000
2025-10-16T21:05:36.376904,-1509,-2000,-430
2025-10-16T21:05:36.593588,-2000,-1896,95
2025-10-16T21:05:36.827434,422,1999,-259
2025-10-16T21:05:37.043963,649,-1107,-1560
2025-10-16T21:05:37.260870,43,38,-890
2025-10-16T21:05:37.476017,46,66,96
2025-10-16T21:05:37.709884,295,-7,-109
2025-10-16T21:05:37.926479,-18,-4,138
2025-10-16T21:05:38.128320,43,60,-16
2025-10-16T21:05:38.327101,-131,-229,-92
2025-10-16T21:05:38.576888,83,239,-118
2025-10-16T21:05:38.778136,20,232,-125
2025-10-16T21:05:39.010967,-113,372,-46
2025-10-16T21:05:39.236480,-137,49,-169
2025-10-16T21:05:39.428460,189,-44,-487
2025-10-16T21:05:39.661658,-10,45,31
2025-10-16T21:05:39.861917,195,-193,399
2025-10-16T21:05:40.093221,337,525,101
2025-10-16T21:05:40.676038,74,327,-231
2025-10-16T21:05:40.894361,47,-231,15
2025-10-16T21:05:41.095681,-27,488,-182
2025-10-16T21:05:41.329428,11,-14,-50
2025-10-16T21:05:41.543947,41,7,-42
2025-10-16T21:05:41.791639,911,-805,-72
2025-10-16T21:05:42.026631,58,27,-643
2025-10-16T21:05:42.254562,34,56,-622
2025-10-16T21:05:42.828761,-13,34,23
2025-10-16T21:05:43.059204,-270,409,-460
2025-10-16T21:05:43.277437,-164,199,-63
2025-10-16T21:05:43.510411,-129,-429,-394
2025-10-16T21:05:43.727747,353,-373,412
2025-10-16T21:05:44.246675,174,341,586
2025-10-16T21:05:44.478700,608,208,821
2025-10-16T21:05:44.694301,28,57,185
2025-10-16T21:05:44.928111,79,254,123
2025-10-16T21:05:45.144846,-166,24,0
2025-10-16T21:05:45.380812,-253,118,25
2025-10-16T21:05:45.594506,-85,-632,-164
2025-10-16T21:05:45.844147,-349,-1519,110
2025-10-16T21:05:46.076279,-607,-1620,-174
2025-10-16T21:05:46.294113,-170,-1795,-549
2025-10-16T21:05:46.494978,-38,-1924,-419
2025-10-16T21:05:46.695776,726,-1773,-374
2025-10-16T21:05:46.925831,266,-1702,601
2025-10-16T21:05:47.159616,-516,-2000,-102
2025-10-16T21:05:47.377876,-1291,-320,220
2025-10-16T21:05:47.594629,481,333,-221
2025-10-16T21:05:47.827332,13,-9,-2
2025-10-16T21:05:48.060565,171,122,2
2025-10-16T21:05:48.293618,-648,-409,36
2025-10-16T21:05:48.527935,-138,-27,74
2025-10-16T21:05:48.745226,7,190,-244
2025-10-16T21:05:48.980347,-248,471,-190
2025-10-16T21:05:49.226188,-365,318,26
2025-10-16T21:05:49.476761,-354,287,209
2025-10-16T21:05:49.697907,-89,281,181
2025-10-16T21:05:49.943902,-193,-826,9
2025-10-16T21:05:50.193586,69,52,-57
2025-10-16T21:05:50.411637,171,-101,56
2025-10-16T21:05:50.611562,-56,64,-172
2025-10-16T21:05:51.128858,-151,-122,359
2025-10-16T21:05:51.344233,-185,-1,360
2025-10-16T21:05:51.561048,-281,-60,313
2025-10-16T21:05:51.795517,-87,24,121
2025-10-16T21:05:52.011826,231,-273,285
2025-10-16T21:05:52.228555,41,6,127
2025-10-16T21:05:52.466318,68,-3,-13
2025-10-16T21:05:52.693526,-93,-995,9
2025-10-16T21:05:52.910633,13,18,45
2025-10-16T21:06:04.317334,-2,1,0
2025-10-16T21:06:04.512218,0,0,0
2025-10-16T21:06:04.744585,2,1,0
2025-10-16T21:06:04.963179,2,2,0
2025-10-16T21:06:05.178260,2,1,-2
2025-10-16T21:06:15.441489,-16,13,12
2025-10-16T21:06:15.662206,5,-25,5
2025-10-16T21:06:15.878661,1,5,-24
2025-10-16T21:06:16.080173,50,-5,10
2025-10-16T21:06:16.311659,0,-35,70
2025-10-16T21:06:16.512325,96,69,-101
2025-10-16T21:06:16.724083,-40,-173,-161
2025-10-16T21:06:16.961326,268,-64,158
2025-10-16T21:06:17.162698,-259,-269,188
2025-10-16T21:06:17.394522,113,359,338
2025-10-16T21:06:17.612711,256,198,260
2025-10-16T21:06:17.849703,443,234,111
2025-10-16T21:06:18.062916,-44,363,196
2025-10-16T21:06:18.294982,-66,306,147
2025-10-16T21:06:18.512113,79,12,-24
2025-10-16T21:06:18.746257,477,-43,123
2025-10-16T21:06:18.962833,-115,-464,-140
2025-10-16T21:06:19.210887,29,-321,-169
2025-10-16T21:06:19.396118,155,-253,-152
2025-10-16T21:06:19.895700,379,427,-123
2025-10-16T21:06:20.095582,358,289,-250
2025-10-16T21:06:20.347974,36,-54,49
2025-10-16T21:06:20.563403,-272,-412,-660
2025-10-16T21:06:20.763396,509,-375,-507
2025-10-16T21:06:21.262781,281,283,-479
2025-10-16T21:06:21.462304,404,-383,-1
2025-10-16T21:06:21.694939,423,426,212
2025-10-16T21:06:21.912330,5,54,54
2025-10-16T21:06:22.114060,482,197,395
2025-10-16T21:06:22.345317,201,549,477
2025-10-16T21:06:22.812838,541,-23,135
2025-10-16T21:06:23.061645,-691,-1854,-48
2025-10-16T21:06:23.262993,-108,-409,665
2025-10-16T21:06:23.494724,-2,-90,20
2025-10-16T21:06:23.711982,137,187,-205
2025-10-16T21:06:23.945768,272,-284,325
2025-10-16T21:06:24.170354,30,-298,402
2025-10-16T21:06:24.394826,-144,-200,355
2025-10-16T21:06:24.861949,378,55,-138
2025-10-16T21:06:25.063552,121,433,-205
2025-10-16T21:06:25.264101,-71,108,-54
2025-10-16T21:06:25.495820,271,217,636
2025-10-16T21:06:25.712542,224,-177,541
2025-10-16T21:06:26.196379,-299,-56,515
2025-10-16T21:06:26.411614,-208,681,-18
2025-10-16T21:06:26.615776,160,278,395
2025-10-16T21:06:26.816004,-56,-23,-111
2025-10-16T21:06:27.046481,22,86,28
2025-10-16T21:06:27.262494,-71,-262,196
2025-10-16T21:06:27.762793,-381,21,187
2025-10-16T21:06:27.980290,-451,-101,145
2025-10-16T21:06:28.213139,-113,798,407
2025-10-16T21:06:28.414679,-971,-809,-543
2025-10-16T21:06:28.613608,-52,102,75
2025-10-16T21:06:28.845147,382,-45,128
2025-10-16T21:06:29.093470,517,-66,104
2025-10-16T21:06:29.344557,336,-162,240
2025-10-16T21:06:29.698540,1064,-1451,-9
2025-10-16T21:06:29.895837,-330,-129,365
2025-10-16T21:06:30.096194,-179,-102,-97
2025-10-16T21:06:30.280197,-23,296,-8
2025-10-16T21:06:30.462983,-96,-240,-515
2025-10-16T21:06:30.662298,276,-133,-403
2025-10-16T21:06:31.048071,418,-62,-219
2025-10-16T21:06:31.229831,413,112,-249
2025-10-16T21:06:31.430861,-158,91,235
2025-10-16T21:06:31.661088,0,-13,-14
2025-10-16T21:06:31.862784,91,28,67
2025-10-16T21:06:32.063344,334,80,178
2025-10-16T21:06:32.246820,-527,-78,-601
2025-10-16T21:06:32.662602,270,1415,1113
2025-10-16T21:06:32.877739,241,1377,1670
2025-10-16T21:06:33.063968,505,1276,1241
2025-10-16T21:06:33.250254,359,1617,1296
2025-10-16T21:06:33.447374,-1362,1775,342
2025-10-16T21:06:33.662338,484,1453,255
2025-10-16T21:06:33.865929,79,1999,-483
2025-10-16T21:06:34.063765,-255,1783,-424
2025-10-16T21:06:34.262990,-439,1668,-550
2025-10-16T21:06:58.074583,0,1,0
2025-10-16T21:06:58.281554,0,1,0
2025-10-16T21:06:58.513978,1,1,0
2025-10-16T21:06:58.746490,0,1,0
2025-10-16T21:06:58.965126,0,1,0
2025-10-16T21:06:59.197985,-6,-10,-3
2025-10-16T21:06:59.400281,-4,-50,-25
2025-10-16T21:06:59.601268,76,5,-67
