                                                                                MagneticField                                                                   04.04.2511.32.4552  
Timestamp,MagnX,MagnY,MagnZ
1743758128.013,-49.99909210205078,40.28246307373047,-107.3365707397461
1743758128.013,-49.0990104675293,39.597251892089844,-107.46406555175781
1743758128.013,-49.9600944519043,41.610809326171875,-106.54061889648438
1743758128.013,-49.97893524169922,41.606842041015625,-107.10194396972656
1743758128.092,-49.92206954956055,37.859405517578125,-109.30866241455078
1743758128.092,-50.73516845703125,40.92341995239258,-108.47969818115234
1743758128.092,-51.563716888427734,42.664039611816406,-107.74503326416016
1743758128.092,-51.835296630859375,38.72523498535156,-108.58161926269531
1743758128.17,-49.93227005004883,41.336883544921875,-106.86973571777344
1743758128.17,-49.021121978759766,37.733943939208984,-107.09396362304688
1743758128.17,-49.954959869384766,41.89167022705078,-105.22919464111328
1743758128.17,-50.15072250366211,38.729400634765625,-106.4893798828125
1743758128.249,-50.473575592041016,39.57957077026367,-106.47669219970703
1743758128.249,-51.23922348022461,38.89415740966797,-108.1351089477539
1743758128.249,-48.6729736328125,38.48902130126953,-105.56058502197266
1743758128.249,-51.1205940246582,39.95948791503906,-106.12464141845703
1743758128.328,-48.87423324584961,38.805213928222656,-104.24151611328125
1743758128.328,-50.72324752807617,38.565433502197266,-106.23423767089844
1743758128.328,-49.39284896850586,36.49311065673828,-105.489013671875
1743758128.328,-51.2679443359375,38.127540588378906,-106.30821228027344
1743758128.407,-49.33883285522461,38.86497116088867,-105.76985168457031
1743758128.407,-51.13954162597656,35.435516357421875,-107.90776062011719
1743758128.407,-49.58893585205078,37.57096862792969,-106.69849395751953
1743758128.407,-47.80072021484375,38.077735900878906,-105.35896301269531
1743758128.486,-48.70298385620117,36.88278579711914,-107.24697875976562
1743758128.486,-50.31987380981445,38.4927864074707,-106.53018951416016
1743758128.486,-49.27507400512695,36.99869155883789,-105.82073974609375
1743758128.486,-50.118186950683594,38.45646667480469,-106.67816162109375
1743758128.564,-50.354164123535156,37.165435791015625,-107.1858139038086
1743758128.564,-50.54938888549805,38.803035736083984,-106.05309295654297
1743758128.564,-49.081058502197266,38.560672760009766,-105.40496826171875
1743758128.564,-49.516544342041016,39.18612289428711,-103.74913024902344
1743758128.643,-49.78416442871094,39.20856857299805,-105.5657730102539
1743758128.643,-49.09300994873047,40.437862396240234,-103.8104476928711
1743758128.643,-47.492889404296875,36.18405532836914,-104.29485321044922
1743758128.643,-46.59697341918945,40.297725677490234,-102.16978454589844
1743758128.722,-49.630035400390625,38.40166473388672,-104.44817352294922
1743758128.722,-44.90340805053711,40.02400207519531,-100.96797180175781
1743758128.722,-46.6796760559082,37.64004135131836,-103.90201568603516
1743758128.722,-46.120853424072266,38.08090591430664,-103.40705108642578
1743758128.8,-48.445560455322266,40.33781814575195,-102.99140930175781
1743758128.8,-44.93166732788086,40.0180549621582,-101.8099594116211
1743758128.8,-45.85662078857422,39.377891540527344,-102.05742645263672
1743758128.8,-47.39045333862305,39.88624572753906,-103.49908447265625
1743758128.879,-46.58580780029297,41.899993896484375,-101.04471588134766
1743758128.879,-46.948974609375,40.101402282714844,-101.50129699707031
1743758128.879,-45.99917984008789,41.586143493652344,-97.03888702392578
1743758128.879,-46.5400276184082,40.58949279785156,-99.3147201538086
1743758128.958,-44.301334381103516,41.03353500366211,-96.86785125732422
1743758128.958,-43.86970138549805,40.966835021972656,-96.32181549072266
1743758128.958,-44.384822845458984,41.855308532714844,-95.88050079345703
1743758128.958,-41.88450622558594,41.4362907409668,-95.27059936523438
1743758129.037,-43.493160247802734,46.728660583496094,-96.56463623046875
1743758129.037,-41.03580093383789,41.02005386352539,-95.7706298828125
1743758129.037,-41.55562973022461,41.90753173828125,-95.46963500976562
1743758129.037,-40.24909973144531,44.07038497924805,-95.37535858154297
1743758129.116,-40.826332092285156,43.905426025390625,-95.26055145263672
1743758129.116,-40.86960983276367,42.85596466064453,-95.0257339477539
1743758129.116,-39.19959259033203,42.57727813720703,-94.52558135986328
1743758129.116,-39.332271575927734,45.54818344116211,-91.895263671875
1743758129.194,-38.50932693481445,42.766029357910156,-91.27246856689453
1743758129.194,-42.099029541015625,42.309261322021484,-92.03032684326172
1743758129.194,-41.38343811035156,44.58405303955078,-91.07112884521484
1743758129.194,-40.99037170410156,43.4688835144043,-90.14995574951172
1743758129.273,-40.10398483276367,43.06057357788086,-89.52734375
1743758129.273,-42.21034240722656,43.40496063232422,-90.71385955810547
1743758129.273,-39.67192459106445,43.27375030517578,-87.81021881103516
1743758129.273,-40.237205505371094,41.23160171508789,-89.28992462158203
1743758129.352,-41.69140625,41.476932525634766,-89.5170669555664
1743758129.352,-41.88531494140625,44.43495178222656,-88.7110366821289
1743758129.352,-39.59403610229492,41.41044235229492,-87.44011688232422
1743758129.352,-42.44588851928711,42.393802642822266,-90.0504150390625
1743758129.43,-40.816078186035156,43.986358642578125,-88.79772186279297
1743758129.43,-41.00627899169922,41.38481903076172,-87.57537841796875
1743758129.43,-41.017337799072266,44.302555084228516,-87.47865295410156
1743758129.43,-38.72517013549805,42.318580627441406,-87.70551300048828
1743758129.509,-39.10542678833008,42.116310119628906,-87.8790054321289
1743758129.509,-40.94491195678711,46.39850997924805,-88.3692626953125
1743758129.509,-38.90373611450195,42.079986572265625,-88.0269775390625
1743758129.509,-37.950958251953125,42.446224212646484,-88.10862731933594
1743758129.588,-39.80589294433594,45.40503692626953,-88.69319152832031
1743758129.588,-38.210052490234375,41.43010711669922,-88.1468276977539
1743758129.588,-36.58024597167969,43.02266311645508,-86.8941421508789
